#,ID Code,Type,Label,Level,Description,Count Up,Coordinates - Row,Coordinates - Column,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
1,FOUNDATION,Index,Foundation Index,Economy,Economy,Yes,8,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68,41.33,45.97,50.28,54.17,59.11,64.34,73.62,83.04,92.12,100,110.49,121.02,132.43,142.85,152.82,168.14,189.75,207.09,225.57,242.47,253.46,269.26,,,,,
2,FOUNDATION_01,Index Driver,Technology Performance,Economy,Economy,Yes,9,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,3.17,4.26,5.53,7.01,8.75,10.77,16.35,21.48,28.02,33.33,40.14,46.97,54.46,61.92,69.66,82.21,102.44,117.45,135.13,149.98,159.18,172.62,,,,,
3,FOUNDATION_02,Index Driver,Infrastructure Penetration,Economy,Economy,Yes,10,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,6.31,9.05,12.06,14.93,18.2,21.35,24.69,27.87,30.7,33.33,36.77,39.97,43.34,46.33,48.65,51.52,54.03,56.44,57.88,60.05,62.05,64.12,,,,,
4,FOUNDATION_03,Index Driver,Public Policy,Economy,Economy,Yes,11,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.66,31.85,32.66,32.7,32.23,32.16,32.22,32.59,33.69,33.41,33.33,33.57,34.08,34.63,34.6,34.52,34.41,33.28,33.2,32.57,32.44,32.23,32.52,,,,,
5,FLOW,Index,Flow Index,Economy,Economy,Yes,12,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47,49.03,51.32,53.85,57.14,60.73,65.29,72.43,77.15,82.7,88.99,97.16,104.37,116.52,127.68,139.16,144.66,155.08,158.04,152.3,164.56,166.21,174.68,,,,,
6,FLOW_01,Index Driver,Virtual Flows,Economy,Economy,Yes,13,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,13.1,13.31,14.25,15.26,16.51,18.16,21.61,25.88,30.13,33.33,37.03,41.71,46.53,53.48,60.47,64.22,69.37,71.49,73.05,74.45,77.86,86.15,,,,,
7,FLOW_02,Index Driver,Physical Flows,Economy,Economy,Yes,14,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,19.27,21.35,22.93,25.21,27.56,30.46,33.29,32.27,31.98,33.33,35.93,36.45,41.58,43.42,45.36,44.49,46.44,45.66,46.15,51.29,51.64,54.99,,,,,
8,FLOW_03,Index Driver,Flow Amplifiers,Economy,Economy,Yes,15,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,16.67,16.67,16.67,16.67,16.67,16.67,17.53,19,20.6,22.33,24.19,26.22,28.4,30.77,33.33,35.96,39.28,40.89,33.1,38.82,36.72,33.54,,,,,
9,IMPACT,Index,Impact Index,Economy,Economy,Yes,16,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.92,77.81,81.16,83.85,87.51,93.35,95.23,99.25,106.28,101.01,100,97.79,98.39,100.04,104.31,111.09,105.09,100.83,105.94,106.63,105.67,104.38,107.17,,,,,
10,IMPACT_01,Index Driver,Markets,Economy,Economy,Yes,17,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,27.1,27.89,29.63,30.97,32.68,31.74,34.13,33.84,34.46,33.33,32.64,32.5,30.8,34.1,38.55,35.25,35.45,37.11,34.45,34.1,34.34,34.54,,,,,
11,IMPACT_02,Index Driver,Firms,Economy,Economy,Yes,18,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.79,24.31,25.93,26.15,27.75,31.15,33.23,34.11,40.66,33.99,33.33,30.98,30.89,31.59,32.17,36.98,36.22,31.3,30.04,30.38,31.85,30.76,33.14,,,,,
12,IMPACT_03,Index Driver,People,Economy,Economy,Yes,19,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,26.4,27.35,28.06,28.79,29.52,30.26,31.02,31.78,32.56,33.33,34.17,35,37.65,38.04,35.56,33.62,34.08,38.79,41.8,39.71,39.28,39.48,,,,,
13,I1000,Metric,Computing,Economy,Economy,Yes,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.93,10.67,16.43,25.29,38.95,59.97,92.33,142.16,218.89,337.03,522.93,886.3,1450.42,2105.77,2714.42,3769.16,5263.16,7868.85,10003.87,16009.22,21493.62,21898.48,30471.08,,,,,
14,I1001,Supporting Data,Computing (Raw),Economy,Economy,No,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.2,144.31,93.73,60.87,39.53,25.68,16.68,10.83,7.03,4.57,2.97,1.91,1.13,0.69,0.47,0.37,0.27,0.19,0.13,0.1,0.06,0.05,0.05,0.03,,,,,
15,I2000,Metric,Digital Storage,Economy,Economy,No,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,3.19,5.8,10.54,19.17,34.86,63.38,115.27,209.6,380.56,693.43,1040.15,1560.22,2340.34,3510.51,5265.76,7898.64,12500,18132.78,25035.68,35065.57,40510.63,50441.28,61017.27,,,,,
16,I2001,Supporting Data,Digital Storage (Raw),Economy,Economy,No,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.86,313.5,172.43,94.84,52.16,28.69,15.78,8.68,4.77,2.63,1.44,0.96,0.64,0.43,0.28,0.19,0.13,0.08,0.06,0.04,0.03,0.02,0.02,0.02,,,,,
17,I3000,Metric,Bandwidth,Economy,Economy,No,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1.39,1.74,2.31,2.78,3.47,4.17,5.21,6.51,7.72,11.11,21.26,31.57,44.33,61.27,74.4,90.58,,,,,
18,I3001,Supporting Data,Bandwidth (Raw),Economy,Economy,No,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.64,720,576,432,360,288,240,192,153.6,129.6,90,47.04,31.68,22.56,16.32,13.44,11.04,,,,,
19,I4000,Metric,Internet Users,Economy,Economy,Yes,26,61,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.95,1.41,1.86,3.98,7.59,13.53,17.87,24.96,29.83,35.05,39.95,44.05,44.39,50.33,53.32,58.31,60.88,62.67,67,68.55,70.75,70.56,70.81,71.63,72.24,,,,,
20,I5000,Metric,Wireless Subscriptions,Economy,Economy,Yes,27,61,,,,,,,,,,,,,,,,,,,,,,,,,1.42,2.12,3,4.33,6.21,9.27,12.86,16.61,20.66,25.61,31.55,38.8,45.03,48.9,54.65,62.12,70.26,78,84.67,86.36,90.1,95.78,101.36,103.94,106.08,111.46,117.58,,,,,
21,I6000,Metric,Economic Freedom,Economy,Economy,Yes,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.65,76.72,75.59,75.43,75.54,76.42,79.06,78.36,78.18,78.75,79.95,81.24,81.18,80.97,80.7,78,77.8,76.3,76,75.5,76.2,75.4,,,,
22,I6001,Supporting Data,Business Freedom,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,85,85,85,85,85,85,85,85,85,93.17,91.38,92.64,91.9,91.3,91,91.1,90.5,89.2,88.8,84.7,,,,
23,I6002,Supporting Data,Trade Freedom ,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,78.4,78.4,78.4,78.4,78.4,81,79.4,81.4,81.4,79.8,81.4,86.6,86.8,86.8,86.9,86.4,86.4,86.4,86.8,87,87,,,,
24,I6003,Supporting Data,Fiscal Freedom,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83,64.72,64.51,64.28,64.06,63.83,63.48,63.42,63.52,67.21,68.58,68.95,69.05,68.32,67.6,67.5,68.3,69.8,69.3,65.8,66.2,65.6,,,,
25,I6004,Supporting Data,Gov't Size,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.81,57.81,60.03,60.25,61.34,69.28,71.17,65.32,63.46,62.19,60.03,61.12,60.25,59.81,59.6,58,54.6,46.7,47.8,48.1,51.8,54.7,,,,
26,I6005,Supporting Data,Monetary Freedom,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.82,84.53,84.47,84.32,85.01,86.3,85.91,84.14,84.23,85.92,85.67,84.99,83.8,83.67,84,78.1,77.4,77.2,75,75.4,76.6,77,,,,
27,I6006,Supporting Data,Investment Freedom,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80,75,75,70,70,70,70,70,,,,
28,I6007,Supporting Data,Financial Freedom,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,90,90,90,90,90,90,80,80,80,70,70,70,70,70,70,70,,,,
29,I6008,Supporting Data,Property Rights,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85,80,80,80,,,,
30,I6009,Supporting Data,Freedom from Corruption ,Economy,Economy,No,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,77.9,76.6,76.1,75,75,78,76,77,75,75,76,73,72,73,75,71,71,72,73,74,,,,
